Pan_gene_id,Rep_transcript,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97,na_count,class,Subgenome,number_genome_presence
Zm00022ab129490,Zm00022ab129490_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129490_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129510,Zm00022ab129510_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129510_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129520,Zm00022ab129520_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129520_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129530,Zm00022ab129530_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129530_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129570,Zm00022ab129570_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129570_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129580,Zm00022ab129580_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129580_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129680,Zm00022ab129680_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129680_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129740,Zm00022ab129740_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129740_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129750,Zm00022ab129750_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129750_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129760,Zm00022ab129760_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129760_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129770,Zm00022ab129770_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129770_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129780,Zm00022ab129780_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129780_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129790,Zm00022ab129790_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129790_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129810,Zm00022ab129810_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129810_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129820,Zm00022ab129820_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129820_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129840,Zm00022ab129840_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129840_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129850,Zm00022ab129850_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129850_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129880,Zm00022ab129880_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129880_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129890,Zm00022ab129890_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129890_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab129900,Zm00022ab129900_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab129900_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130000,Zm00022ab130000_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130000_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130020,Zm00022ab130020_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130020_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130070,Zm00022ab130070_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130070_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130140,Zm00022ab130140_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130140_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130170,Zm00022ab130170_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130170_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130190,Zm00022ab130190_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130190_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130210,Zm00022ab130210_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130210_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130260,Zm00022ab130260_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130260_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130280,Zm00022ab130280_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130280_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab130290,Zm00022ab130290_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab130290_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab319750,Zm00022ab319750_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab319750_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab386810,Zm00022ab386810_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab386810_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab386840,Zm00022ab386840_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab386840_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab386860,Zm00022ab386860_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab386860_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00022ab386910,Zm00022ab386910_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00022ab386910_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00023ab300370,Zm00023ab300370_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00023ab300370_T001,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00024ab167880,Zm00024ab167880_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00024ab167880_T001,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab034470,Zm00025ab034470_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab034470_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174600,Zm00025ab174600_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174600_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174640,Zm00025ab174640_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174640_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174850,Zm00025ab174850_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174850_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174860,Zm00025ab174860_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174860_T003,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174890,Zm00025ab174890_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174890_T003,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174900,Zm00025ab174900_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174900_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174910,Zm00025ab174910_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174910_T002,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174970,Zm00025ab174970_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174970_T003,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174980,Zm00025ab174980_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174980_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab174990,Zm00025ab174990_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab174990_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175000,Zm00025ab175000_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175000_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175030,Zm00025ab175030_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175030_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175080,Zm00025ab175080_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175080_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175130,Zm00025ab175130_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175130_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175150,Zm00025ab175150_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175150_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175160,Zm00025ab175160_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175160_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab175170,Zm00025ab175170_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab175170_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00025ab432360,Zm00025ab432360_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00025ab432360_T001,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab318680,Zm00026ab318680_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab318680_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab319240,Zm00026ab319240_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab319240_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417510,Zm00026ab417510_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417510_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417530,Zm00026ab417530_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417530_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417540,Zm00026ab417540_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417540_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417570,Zm00026ab417570_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417570_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417580,Zm00026ab417580_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417580_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417600,Zm00026ab417600_T004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417600_T004,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417610,Zm00026ab417610_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417610_T002,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00026ab417620,Zm00026ab417620_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00026ab417620_T001,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00028ab312240,Zm00028ab312240_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00028ab312240_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00029ab152810,Zm00029ab152810_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00029ab152810_T001,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00029ab309980,Zm00029ab309980_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00029ab309980_T001,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab237890,Zm00030ab237890_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab237890_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab237910,Zm00030ab237910_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab237910_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab237960,Zm00030ab237960_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab237960_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab237980,Zm00030ab237980_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab237980_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab237990,Zm00030ab237990_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab237990_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238380,Zm00030ab238380_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238380_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238390,Zm00030ab238390_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238390_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238400,Zm00030ab238400_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238400_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238410,Zm00030ab238410_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238410_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238430,Zm00030ab238430_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238430_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238450,Zm00030ab238450_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238450_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238460,Zm00030ab238460_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238460_T003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238470,Zm00030ab238470_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238470_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238480,Zm00030ab238480_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238480_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238520,Zm00030ab238520_T004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238520_T004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00030ab238530,Zm00030ab238530_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zm00030ab238530_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00031ab299420,Zm00031ab299420_T001,NA,NA,Zm00031ab299420_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00031ab337630,Zm00031ab337630_T001,NA,NA,Zm00031ab337630_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00032ab033660,Zm00032ab033660_T001,NA,NA,NA,NA,NA,NA,NA,Zm00032ab033660_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00032ab043300,Zm00032ab043300_T001,NA,NA,NA,NA,NA,NA,NA,Zm00032ab043300_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00032ab080430,Zm00032ab080430_T002,NA,NA,NA,NA,NA,NA,NA,Zm00032ab080430_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00032ab345370,Zm00032ab345370_T001,NA,NA,NA,NA,NA,NA,NA,Zm00032ab345370_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00033ab312170,Zm00033ab312170_T001,NA,NA,NA,Zm00033ab312170_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00034ab154010,Zm00034ab154010_T002,NA,NA,NA,NA,NA,NA,NA,NA,Zm00034ab154010_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00034ab154020,Zm00034ab154020_T002,NA,NA,NA,NA,NA,NA,NA,NA,Zm00034ab154020_T002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00034ab154030,Zm00034ab154030_T001,NA,NA,NA,NA,NA,NA,NA,NA,Zm00034ab154030_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00034ab154050,Zm00034ab154050_T001,NA,NA,NA,NA,NA,NA,NA,NA,Zm00034ab154050_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00034ab154070,Zm00034ab154070_T001,NA,NA,NA,NA,NA,NA,NA,NA,Zm00034ab154070_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
Zm00034ab154080,Zm00034ab154080_T001,NA,NA,NA,NA,NA,NA,NA,NA,Zm00034ab154080_T001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PrivateGene,M1,1
