NAM_line,Chr,Group,Start,End,Array.size..bp.,Repeat.content..bp.,Repeat.Percentage,X100N,Ngap.Percentage,AF013103.1,CentC,CL569186.1,knob180,TR.1,type,structure,Cyto_vis,Cyto_type,Name,Notes
Tzi8,chr1,5,12134595,12181023,46428,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
CML333,chr1,4,12163462,12187538,24076,5942,0.247,NA,0,0,0,0,0,1,TR-1,single,,,,
CML103,chr1,4,12293796,12340200,46404,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
NC358,chr1,4,12353303,12395050,41747,5936,0.142,NA,0,0,0,0,0,1,TR-1,single,,,,
HP301,chr1,4,12418008,12464395,46387,5915,0.128,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh43,chr1,4,12453987,12500417,46430,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh7b,chr1,4,12774046,12798123,24077,5942,0.247,NA,0,0,0,0,0,1,TR-1,single,,,,
CML322,chr1,4,13092816,13134561,41745,5935,0.142,NA,0,0,0,0,0,1,TR-1,single,,,,
Ki3,chr1,5,13441632,13488060,46428,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
Ki11,chr1,6,14101041,14147470,46429,5914,0.127,NA,0,0,0,0,0,1,TR-1,single,,,,
CML228,chr1,4,14275360,14293584,18224,5917,0.325,NA,0,0,0,0,0,1,TR-1,single,,,,
CML52,chr1,4,14339174,14380919,41745,5936,0.142,NA,0,0,0,0,0,1,TR-1,single,,,,
CML247,chr1,7,14941555,14983302,41747,5936,0.142,NA,0,0,0,0,0,1,TR-1,single,,,,
Tzi8,chr1,6,15045424,15109961,64537,16803,0.26,NA,0,0,0,0,0,1,TR-1,single,,,,
NC358,chr1,5,15651129,15715702,64573,16803,0.26,NA,0,0,0,0,0,1,TR-1,single,,,,
CML228,chr1,5,17143231,17191233,48002,21475,0.447,NA,0,0,0,0,0,1,TR-1,single,,,,
Ki11,chr1,7,17339156,17387157,48001,21475,0.447,NA,0,0,0,0,0,1,TR-1,single,,,,
CML277,chr1,5,18139567,18160578,21011,20897,0.995,NA,0,0,0,0,1,0,knob180,single,YES,knob180,1S,
Tzi8,chr1,7,18288193,18314621,26428,26134,0.989,Y,0.004,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,5,18394992,18422188,27196,27031,0.994,NA,0,0,0,0,1,0,knob180,single,YES,,,
CML247,chr1,8,18446548,18511146,64598,16803,0.26,NA,0,0,0,0,0,1,TR-1,single,,,,
Ky21,chr1,4,18452548,18556137,103589,85118,0.822,NA,0,0,0,0,1,0,knob180,single,YES,mixed,1S,
CML277,chr1,6,18551457,18644679,93222,64673,0.694,Y,0.001,0,0,0,0.69,0.31,knob180,mixed,YES,knob180,1S,
Tx303,chr1,6,18613435,19739366,1125931,952000,0.846,Y,0.008,0,0,0,0.926,0.074,knob180,mixed,YES,knob180,1S,
Ky21,chr1,5,18810978,19000499,189521,146213,0.771,NA,0,0,0,0,0.799,0.201,knob180,mixed,YES,mixed,1S,
Ky21,chr1,6,19632213,19709647,77434,32597,0.421,NA,0,0,0,0,1,0,knob180,single,YES,mixed,1S,
Ky21,chr1,7,20286839,20824195,537356,411533,0.766,Y,0,0,0,0,0.894,0.106,knob180,mixed,YES,mixed,1S,
Ky21,chr1,8,21337295,21458316,121021,99646,0.823,NA,0,0,0,0,1,0,knob180,single,YES,mixed,1S,
Ky21,chr1,9,21624469,21849639,225170,202183,0.898,NA,0,0,0,0,0.925,0.075,knob180,mixed,YES,mixed,1S,
B73,chr1,4,44421110,44437521,16411,4656,0.284,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr1,5,45033794,45050032,16238,4688,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr1,5,45225014,45241254,16240,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr1,5,45245260,45261478,16218,4690,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr1,5,45465403,45481642,16239,4688,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr1,5,45597056,45613256,16200,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr1,7,45669323,45685708,16385,4652,0.284,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr1,5,45859541,45875781,16240,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr1,4,46093684,46109904,16220,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr1,6,46128959,46145198,16239,4688,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr1,6,46176214,46192454,16240,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,8,46181289,46231510,50221,7616,0.152,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,7,46694876,46711116,16240,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr1,5,46890610,46906850,16240,4689,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr1,5,47115218,47131629,16411,4656,0.284,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr1,5,47126741,47142980,16239,4688,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr1,5,48456568,48472780,16212,4685,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr1,6,48569339,48585578,16239,4688,0.289,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,9,48661782,48712001,50219,7616,0.152,NA,0,0,0,0,1,0,knob180,single,,,,
P39,chr1,5,168373934,168401329,27395,10012,0.365,NA,0,0,0,0,0,1,TR-1,single,,,,
IL14H,chr1,7,168521539,168532105,10566,9677,0.916,NA,0,0,0,0,0,1,TR-1,single,,,,
Mo18W,chr1,8,170363021,170380695,17674,10012,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
HP301,chr1,8,170528051,170545728,17677,9992,0.565,NA,0,0,0,0,0,1,TR-1,single,,,,
M37W,chr1,9,170896497,170914169,17672,9998,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
NC358,chr1,9,171800225,171817897,17672,9998,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
CML69,chr1,7,171919733,171937406,17673,10011,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
NC350,chr1,8,172109159,172126831,17672,9998,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
MS71,chr1,6,172393135,172410809,17674,10012,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
B73,chr1,8,172504460,172522134,17674,10012,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
M162W,chr1,8,172581578,172592500,10922,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh43,chr1,7,172650276,172677670,27394,10012,0.365,NA,0,0,0,0,0,1,TR-1,single,,,,
B97,chr1,9,172840101,172866073,25972,9823,0.378,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh7b,chr1,9,172911301,172926943,15642,7965,0.509,NA,0,0,0,0,0,1,TR-1,single,,,,
Tzi8,chr1,12,173241331,173252254,10923,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
Tx303,chr1,11,173392781,173403705,10924,10016,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
CML103,chr1,9,173511897,173522819,10922,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
Ki3,chr1,9,173726878,173737800,10922,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
CML322,chr1,8,173940389,173951311,10922,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
CML247,chr1,12,175165724,175183397,17673,10011,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
CML228,chr1,9,175579661,175590584,10923,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
CML52,chr1,8,175595384,175613061,17677,10012,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
CML333,chr1,9,175722903,175740581,17678,9958,0.563,NA,0,0,0,0,0,1,TR-1,single,,,,
Ki11,chr1,10,176115779,176126702,10923,10015,0.917,NA,0,0,0,0,0,1,TR-1,single,,,,
Ky21,chr1,13,176363388,176381061,17673,10011,0.566,NA,0,0,0,0,0,1,TR-1,single,,,,
P39,chr1,6,176608867,176635508,26641,6118,0.23,NA,0,0,0,0,0,1,TR-1,single,,,,
IL14H,chr1,8,177232144,177258784,26640,6185,0.232,NA,0,0,0,0,0,1,TR-1,single,,,,
HP301,chr1,9,179501822,179528427,26605,6186,0.233,NA,0,0,0,0,0,1,TR-1,single,,,,
Mo18W,chr1,9,179899592,179935202,35610,6185,0.174,NA,0,0,0,0,0,1,TR-1,single,,,,
P39,chr1,7,180131461,180146315,14854,9135,0.615,NA,0,0,0,0,0.851,0.149,knob180,mixed,,,,
M162W,chr1,9,180432726,180455779,23053,6660,0.289,NA,0,0,0,0,0,1,TR-1,single,,,,
IL14H,chr1,9,180696341,180719960,23619,5203,0.22,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,12,180871335,180897974,26639,6185,0.232,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh7b,chr1,10,181001639,181029531,27892,6185,0.222,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh43,chr1,8,181046753,181069807,23054,6660,0.289,NA,0,0,0,0,0,1,TR-1,single,,,,
CML277,chr1,11,181534619,181561228,26609,6186,0.232,NA,0,0,0,0,0,1,TR-1,single,,,,
MS71,chr1,7,182100589,182136199,35610,6185,0.174,NA,0,0,0,0,0,1,TR-1,single,,,,
B73,chr1,9,182102049,182119356,17307,7296,0.422,NA,0,0,0,0,0,1,TR-1,single,,,,
Mo18W,chr1,10,182196658,182462574,265916,48029,0.181,NA,0,0,0,0,1,0,knob180,single,,,,
HP301,chr1,10,182381705,182653992,272287,53827,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr1,10,182735458,183007817,272359,53829,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr1,11,182975361,182994497,19136,9117,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
CML103,chr1,10,183007055,183033694,26639,6185,0.232,NA,0,0,0,0,0,1,TR-1,single,,,,
HP301,chr1,11,183136749,183263511,126762,13808,0.109,NA,0,0,0,0,0.903,0.097,knob180,mixed,,,,
M162W,chr1,10,183190702,183463049,272347,53829,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr1,10,183346751,183373390,26639,6185,0.232,NA,0,0,0,0,0,1,TR-1,single,,,,
Oh7b,chr1,11,183354670,183626946,272276,53811,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,13,183423448,183686138,262690,53760,0.205,NA,0,0,0,0,1,0,knob180,single,,,,
M37W,chr1,11,183599735,183618871,19136,9114,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
NC358,chr1,10,183622679,183894439,271760,53760,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr1,9,183791344,184055647,264303,53723,0.203,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr1,8,183980751,184253133,272382,53798,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr1,9,184018339,184267267,248928,61987,0.249,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr1,11,184055000,184074136,19136,9114,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
Oh7b,chr1,12,184109538,184236291,126753,13808,0.109,NA,0,0,0,0,0.903,0.097,knob180,mixed,,,,
CML277,chr1,12,184226523,184489193,262670,53747,0.205,NA,0,0,0,0,1,0,knob180,single,,,,
Tx303,chr1,14,184254744,184273880,19136,9117,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
B97,chr1,10,184387636,184651922,264286,53723,0.203,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr1,11,184456693,184490282,33589,5195,0.155,NA,0,0,0,0,1,0,knob180,single,,,,
CML322,chr1,9,184462211,184746986,284775,53807,0.189,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr1,10,184567762,184833682,265920,48013,0.181,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr1,10,184848127,184920992,72865,9373,0.129,NA,0,0,0,0,0.856,0.144,knob180,mixed,,,,
CML69,chr1,9,184849908,184922714,72806,9368,0.129,NA,0,0,0,0,0.856,0.144,knob180,mixed,,,,
CML247,chr1,13,184935042,184955266,20224,5271,0.261,NA,0,0,0,0,0,1,TR-1,single,,,,
NC350,chr1,10,184992669,185026339,33670,5193,0.154,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr1,10,184994604,185274294,279690,53838,0.192,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,13,185056461,185336968,280507,53814,0.192,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr1,13,185057797,185076933,19136,9117,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
Ki3,chr1,11,185346501,185365637,19136,9117,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
CML322,chr1,10,185418433,185433286,14853,9135,0.615,NA,0,0,0,0,0.851,0.149,knob180,mixed,,,,
B97,chr1,11,185428182,185501071,72889,9373,0.129,NA,0,0,0,0,0.856,0.144,knob180,mixed,,,,
CML333,chr1,10,185460760,185487400,26640,6118,0.23,NA,0,0,0,0,0,1,TR-1,single,,,,
CML103,chr1,11,185574519,185859285,284766,53791,0.189,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr1,8,185728370,185751989,23619,5203,0.22,NA,0,0,0,0,1,0,knob180,single,,,,
B73,chr1,11,185774326,185807985,33659,5189,0.154,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,11,185831283,185854272,22989,6663,0.29,NA,0,0,0,0,0,1,TR-1,single,,,,
CML228,chr1,11,185851071,186113788,262717,53762,0.205,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,14,186143921,186186847,42926,9346,0.218,NA,0,0,0,0,0.854,0.146,knob180,mixed,,,,
CML103,chr1,12,186530738,186545591,14853,9135,0.615,NA,0,0,0,0,0.851,0.149,knob180,mixed,,,,
CML228,chr1,12,186682411,186701547,19136,9117,0.476,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
CML247,chr1,14,187457820,187729440,271620,53793,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr1,11,187831785,188103519,271734,53672,0.198,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr1,9,187901437,188181195,279758,53764,0.192,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,12,188289409,188536856,247447,52745,0.213,NA,0,0,0,0,1,0,knob180,single,,,,
CML247,chr1,15,188299057,188318481,19424,9104,0.469,NA,0,0,0,0,0.851,0.149,knob180,mixed,,,,
CML333,chr1,12,188675830,188695254,19424,9177,0.472,NA,0,0,0,0,0.853,0.147,knob180,mixed,,,,
CML52,chr1,10,188739250,188769715,30465,5178,0.17,NA,0,0,0,0,1,0,knob180,single,,,,
Ky21,chr1,15,188904212,189170145,265933,48005,0.181,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,13,189139920,189159055,19135,9098,0.475,NA,0,0,0,0,0.85,0.15,knob180,mixed,,,,
Ky21,chr1,16,189649848,189776600,126752,13808,0.109,NA,0,0,0,0,0.903,0.097,knob180,mixed,,,,
HP301,chr1,12,223281509,223412684,131175,53760,0.41,NA,0,0,0,0,1,0,knob180,single,,,,
Mo18W,chr1,12,223703507,223825823,122316,54620,0.447,NA,0,0,0,0,1,0,knob180,single,,,,
Oh7b,chr1,13,224065302,224190407,125105,53132,0.425,NA,0,0,0,0,1,0,knob180,single,,,,
Oh43,chr1,11,224554351,224661352,107001,55660,0.52,NA,0,0,0,0,1,0,knob180,single,,,,
NC358,chr1,12,225032032,225170226,138194,54156,0.392,NA,0,0,0,0,1,0,knob180,single,,,,
M162W,chr1,12,225033281,225149773,116492,75129,0.645,NA,0,0,0,0,1,0,knob180,single,,,,
Ki3,chr1,12,225681805,225813624,131819,56507,0.429,NA,0,0,0,0,1,0,knob180,single,,,,
Tzi8,chr1,15,225867254,225983738,116484,54317,0.466,NA,0,0,0,0,1,0,knob180,single,,,,
CML277,chr1,14,226020116,226055194,35078,7240,0.206,NA,0,0,0,0,1,0,knob180,single,,,,
CML103,chr1,13,226188381,226340108,151727,59389,0.391,NA,0,0,0,0,1,0,knob180,single,,,,
B97,chr1,12,226464293,226577864,113571,72332,0.637,NA,0,0,0,0,1,0,knob180,single,,,,
MS71,chr1,9,226572266,226698386,126120,54146,0.429,NA,0,0,0,0,1,0,knob180,single,,,,
CML228,chr1,13,226705209,226727943,22734,5741,0.253,NA,0,0,0,0,1,0,knob180,single,,,,
CML69,chr1,10,226900052,227018517,118465,56230,0.475,NA,0,0,0,0,1,0,knob180,single,,,,
NC350,chr1,11,227545083,227667449,122366,54673,0.447,NA,0,0,0,0,1,0,knob180,single,,,,
CML52,chr1,11,227942675,228045782,103107,50161,0.486,NA,0,0,0,0,1,0,knob180,single,,,,
CML333,chr1,13,228250282,228282969,32687,6888,0.211,NA,0,0,0,0,1,0,knob180,single,,,,
Ki11,chr1,14,229573610,229669091,95481,66058,0.692,NA,0,0,0,0,1,0,knob180,single,,,,
P39,chr1,9,241758366,241825471,67105,22067,0.329,NA,0,0,0,0,0.634,0.366,knob180,mixed,,,,
IL14H,chr1,11,243368545,243435650,67105,22067,0.329,NA,0,0,0,0,0.634,0.366,knob180,mixed,,,,
Oh7b,chr1,14,246525113,247173580,648467,447041,0.689,Y,0.066,0,0,0,0.925,0.075,knob180,mixed,,,,
Oh7b,chr1,15,248182530,248219224,36694,18140,0.494,NA,0,0,0,0,0.557,0.443,knob180,mixed,,,,
CML103,chr1,14,248555192,248650165,94973,22085,0.233,NA,0,0,0,0,0.635,0.365,knob180,mixed,,,,
M162W,chr1,13,248732073,248817351,85278,22055,0.259,NA,0,0,0,0,0.635,0.365,knob180,mixed,,,,
Tzi8,chr1,16,248952448,249056981,104533,22055,0.211,NA,0,0,0,0,0.635,0.365,knob180,mixed,,,,
Ki3,chr1,13,249213227,249301336,88109,22073,0.251,NA,0,0,0,0,0.635,0.365,knob180,mixed,,,,
B97,chr1,13,249340272,249425558,85286,22037,0.258,NA,0,0,0,0,0.636,0.364,knob180,mixed,,,,
CML69,chr1,11,249710712,249795985,85273,22055,0.259,NA,0,0,0,0,0.635,0.365,knob180,mixed,,,,
CML228,chr1,14,251413027,251456703,43676,22847,0.523,NA,0,0,0,0,0.649,0.351,knob180,mixed,,,,
CML333,chr1,14,252571718,252640777,69059,23030,0.333,NA,0,0,0,0,0.65,0.35,knob180,mixed,,,,
Ky21,chr1,18,254029438,254114724,85286,22037,0.258,NA,0,0,0,0,0.636,0.364,knob180,mixed,,,,
P39,chr1,10,265583956,265748962,165006,76606,0.464,NA,0,0,0,0,0.686,0.314,knob180,mixed,,,,
IL14H,chr1,12,266179015,266344022,165007,76606,0.464,NA,0,0,0,0,0.686,0.314,knob180,mixed,,,,
Tx303,chr1,16,269268087,269458984,190897,73515,0.385,NA,0,0,0,0,0.673,0.327,knob180,mixed,,,,
HP301,chr1,13,269936428,270082179,145751,69582,0.477,NA,0,0,0,0,0.648,0.352,knob180,mixed,,,,
M37W,chr1,13,270780084,270924378,144294,20326,0.141,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
Oh43,chr1,12,270788291,270886322,98031,52310,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
Mo18W,chr1,13,271048217,271193968,145751,69582,0.477,NA,0,0,0,0,0.648,0.352,knob180,mixed,,,,
NC358,chr1,13,271406601,271504626,98025,52308,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
M162W,chr1,14,272303841,272406584,102743,52287,0.509,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
Oh7b,chr1,16,272662205,272760230,98025,52308,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
MS71,chr1,10,273398476,273531062,132586,20328,0.153,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
Ki3,chr1,14,273399548,273543967,144419,20331,0.141,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
Tzi8,chr1,17,273529919,273662545,132626,20318,0.153,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
B73,chr1,13,273602336,273700360,98024,52308,0.534,NA,0,0,0,0,0.671,0.329,knob180,mixed,,,,
CML69,chr1,12,273985746,274130063,144317,20332,0.141,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
NC350,chr1,12,275095279,275239741,144462,20331,0.141,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
CML228,chr1,15,276004521,276137154,132633,20321,0.153,NA,0,0,0,0,0.794,0.206,knob180,mixed,,,,
